path	size	mode	count	status	crc_ok	resolved_entries
EXLANG\disc0_rel\0001112d.PDT	105482240	0x100	86	ok	8/8	
EXLANG\disc0_rel\002aba34.DAT	544145408	0x40	20437	hdr+0x20 names_off 0xb489134a != 0x3be24; node[0].gt=0x8c99cea83d87c38 outside 0..0x77bf8	-	
EXLANG\disc0_rel\0076531d.DAT	4166848	0x40	32020	hdr+0x20 names_off 0xe053ff00 != 0x5dd18; node[0].gt=0x978fde36d63de4d7 outside 0..0xbb9e0	-	
EXLANG\disc0_rel\009645fa.PDT	511334400	0x40	557	ok	-	
EXLANG\disc0_rel\00b2b2a8.PDT	279279616	0x100	608	ok	8/8	
EXLANG\disc0_rel\00b2b475.PDT	2826240	0x100	219	ok	219/219	
EXLANG\disc0_rel\00b2b4b6.PDT	82704384	0x100	2304	ok	8/8	
MLG\disc0_rel\0001112d.PDT	105482240	0x100	86	ok	8/8	
MLG\disc0_rel\002aba34.DAT	544555008	0x40	20437	hdr+0x20 names_off 0xb489134a != 0x3be24; node[0].gt=0xf78b67b5b9a279f7 outside 0..0x77bf8	-	
MLG\disc0_rel\0076531d.DAT	4142432	0x40	32020	hdr+0x20 names_off 0xe053ff00 != 0x5dd18; node[0].gt=0x57e0830d4ed83b67 outside 0..0xbb9e0	-	
MLG\disc0_rel\009645fa.PDT	511328256	0x40	557	ok	-	
MLG\disc0_rel\00b2b2a8.PDT	279279616	0x100	608	ok	8/8	
MLG\disc0_rel\00b2b475.PDT	2826240	0x100	219	ok	219/219	
MLG\disc0_rel\00b2b4b6.PDT	82704384	0x100	2304	ok	8/8	
MLG\disc0_rel\ADEMO\0018ef0c.pdt	1820672	0x100	3	ok	3/3	
MLG\disc0_rel\ADEMO\0018ef0d.pdt	3686400	0x100	5	ok	5/5	
MLG\disc0_rel\ADEMO\0058c6d6.pdt	8943616	0x100	12	ok	12/12	
MLG\disc0_rel\ADEMO\0058c716.pdt	1208320	0x100	3	ok	3/3	
MLG\disc0_rel\ADEMO\0058c736.pdt	3809280	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMO\0058c756.pdt	2912256	0x100	4	ok	4/4	
MLG\disc0_rel\ADEMO\0058c796.pdt	3379200	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMO\0058c7b6.pdt	2750464	0x100	3	ok	3/3	
MLG\disc0_rel\ADEMO\0058c7d6.pdt	4005888	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMO\0058cab6.pdt	6103040	0x100	11	ok	11/11	
MLG\disc0_rel\ADEMO\0058cad6.pdt	9506816	0x100	8	ok	8/8	
MLG\disc0_rel\ADEMO\0058cafb.pdt	253952	0x100	2	ok	2/2	
MLG\disc0_rel\ADEMO\0058cb36.pdt	1818624	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMO\0058cb3b.pdt	1955840	0x100	5	ok	5/5	
MLG\disc0_rel\ADEMO\0058cb56.pdt	8452096	0x100	10	ok	10/10	
MLG\disc0_rel\ADEMO\0058cb76.pdt	12249088	0x100	12	ok	12/12	
MLG\disc0_rel\ADEMO\0058cb96.pdt	7501824	0x100	4	ok	4/4	
MLG\disc0_rel\ADEMO\0058ceb6.pdt	12668928	0x100	16	ok	16/16	
MLG\disc0_rel\ADEMO\0058ced6.pdt	16920576	0x100	17	ok	8/8	
MLG\disc0_rel\ADEMO\0058cef6.pdt	11089920	0x100	13	ok	13/13	
MLG\disc0_rel\ADEMO\0058cf16.pdt	2418688	0x100	3	ok	3/3	
MLG\disc0_rel\ADEMO\0058cf96.pdt	9107456	0x100	10	ok	10/10	
MLG\disc0_rel\ADEMO\0058cfb6.pdt	9582592	0x100	9	ok	9/9	
MLG\disc0_rel\ADEMO\0058cfd6.pdt	15894528	0x100	16	ok	16/16	
MLG\disc0_rel\ADEMO\0058d2b6.pdt	7602176	0x100	11	ok	11/11	
MLG\disc0_rel\ADEMO\0058d2bb.pdt	8284160	0x100	12	ok	12/12	
MLG\disc0_rel\ADEMO\0058d336.pdt	7714816	0x100	9	ok	9/9	
MLG\disc0_rel\ADEMO\0058d376.pdt	5482496	0x100	12	ok	12/12	
MLG\disc0_rel\ADEMO\0058d3b6.pdt	2080768	0x100	2	ok	2/2	
MLG\disc0_rel\ADEMO\0058d3d6.pdt	10180608	0x100	8	ok	8/8	
MLG\disc0_rel\ADEMO\0058d6b6.pdt	3078144	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMO\0058d6d6.pdt	5761024	0x100	5	ok	5/5	
MLG\disc0_rel\ADEMO\0058d756.pdt	4753408	0x100	4	ok	4/4	
MLG\disc0_rel\ADEMO\0058dab6.pdt	5025792	0x100	5	ok	5/5	
MLG\disc0_rel\ADEMO\0058dad6.pdt	1345536	0x100	2	ok	2/2	
MLG\disc0_rel\ADEMOHQ\0018ef0c.pdt	76288000	0x100	3	ok	3/3	
MLG\disc0_rel\ADEMOHQ\0018ef0d.pdt	107225088	0x100	5	ok	5/5	
MLG\disc0_rel\ADEMOHQ\0058c6d6.pdt	273725440	0x100	12	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058c716.pdt	40282112	0x100	3	ok	3/3	
MLG\disc0_rel\ADEMOHQ\0058c736.pdt	137060352	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMOHQ\0058c756.pdt	116742144	0x100	4	ok	4/4	
MLG\disc0_rel\ADEMOHQ\0058c796.pdt	102924288	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMOHQ\0058c7b6.pdt	94345216	0x100	3	ok	3/3	
MLG\disc0_rel\ADEMOHQ\0058c7d6.pdt	149581824	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMOHQ\0058cab6.pdt	218107904	0x100	11	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cad6.pdt	287264768	0x100	8	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cafb.pdt	10430464	0x100	2	ok	2/2	
MLG\disc0_rel\ADEMOHQ\0058cb36.pdt	52783104	0x100	6	ok	6/6	
MLG\disc0_rel\ADEMOHQ\0058cb3b.pdt	60473344	0x100	5	ok	5/5	
MLG\disc0_rel\ADEMOHQ\0058cb56.pdt	303613952	0x100	10	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cb76.pdt	317433856	0x100	12	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cb96.pdt	245336064	0x100	4	ok	4/4	
MLG\disc0_rel\ADEMOHQ\0058ceb6.pdt	433756160	0x100	16	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058ced6.pdt	547158016	0x100	17	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cef6.pdt	444241920	0x100	13	ok	8/8	
MLG\disc0_rel\ADEMOHQ\0058cf16.pdt	73228288	0x100	3	ok	3/3	
