file	source	entries	refs	chars
olang\olang_01.po	olang	400	1474	20327
olang\olang_02.po	olang	400	421	6944
olang\olang_03.po	olang	400	532	15945
olang\olang_04.po	olang	314	354	19648
codec\codec_01.po	codec	400	421	22383
codec\codec_02.po	codec	400	410	21341
codec\codec_03.po	codec	400	407	21396
codec\codec_04.po	codec	400	421	21377
codec\codec_05.po	codec	400	416	20874
codec\codec_06.po	codec	400	400	20935
codec\codec_07.po	codec	400	403	21940
codec\codec_08.po	codec	400	405	19763
codec\codec_09.po	codec	400	402	20682
codec\codec_10.po	codec	400	401	19498
codec\codec_11.po	codec	400	400	19431
codec\codec_12.po	codec	346	353	16287
