table_id	lang	group	entry	meta	record	locations	text
0x0002eb62	en	0x596c56	0x000000	0x0001	276	276:0x5db28a83	PRISONER
0x0002eb62	fr	0x596c56	0x000000	0x0001	277	277:0x5db28aa7	PRISONNIER
0x0002eb62	de	0x596c56	0x000000	0x0001	278	278:0x5db28aba	GEFANGENER
0x0002eb62	it	0x596c56	0x000000	0x0001	279	279:0x5db28b09	PRIGIONIERO
0x0002eb62	ja	0x596c56	0x000000	0x0001	280	280:0x5d02eb62	PRISONER
0x0002eb62	es	0x596c56	0x000000	0x0001	281	281:0x5db28c45	PRISIONERO
0x0006a8d5	en	0x20bac6	0x0140f7	0x0001	30	30:0x5d6c0c62	NEW
0x0006a8d5	en	0x20bac6	0x684e0a	0x0402	30	30:0x5d6c0c62	New weapon obtained: $1
0x0006a8d5	en	0x20bac6	0x68aa0a	0x0402	30	30:0x5d6c0c62	New item obtained: $1
0x0006a8d5	en	0x20bac6	0x7e19ec	0x0402	30	30:0x5d6c0c62	[!] $1 member(s) hurt.
0x0006a8d5	en	0x20bac6	0x7e19ed	0x0402	30	30:0x5d6c0c62	[!] $1 member(s) sick.
0x0006a8d5	en	0x20bac6	0x7e19ee	0x0402	30	30:0x5d6c0c62	[!] $1 member(s) suffering from PTSD.
0x0006a8d5	en	0x20bac6	0x7e19ef	0x0402	30	30:0x5d6c0c62	[!] $1 member(s) died.
0x0006a8d5	en	0x20bac6	0x7e19f0	0x0402	30	30:0x5d6c0c62	$1 member(s) released from hospital.
0x0006a8d5	en	0x20bac6	0x7e1a07	0x0402	30	30:0x5d6c0c62	[!] $1 member(s) defected.
0x0006a8d5	en	0x20bac6	0x7e1a0a	0x0402	30	30:0x5d6c0c62	$1 member(s) parameters increased.
0x0006a8d5	en	0x20bac6	0x7e1a0e	0x0402	30	30:0x5d6c0c62	$1 member(s) parameters increased.
0x0006a8d5	en	0x20bac6	0x7e1a0f	0x0402	30	30:0x5d6c0c62	Field unit has returned from the conflict zone.
0x0006a8d5	en	0x20bac6	0x7e1a10	0x0402	30	30:0x5d6c0c62	New weapon developed: $1
0x0006a8d5	en	0x20bac6	0x7e1a27	0x0402	30	30:0x5d6c0c62	New item developed: $1
0x0006a8d5	en	0x20bac6	0x7e1a28	0x0402	30	30:0x5d6c0c62	Mother Base has expanded. 
0x0006a8d5	en	0x20bac6	0x7e1a29	0x0402	30	30:0x5d6c0c62	(不要)#ハリケーンに遭遇。(難破船と遭遇していれば)難破船と遭遇した。
0x0006a8d5	en	0x20bac6	0x7e1a2a	0x0402	30	30:0x5d6c0c62	[!] Food shortage causing staff morale to drop.
0x0006a8d5	en	0x20bac6	0x7e1a2b	0x0402	30	30:0x5d6c0c62	Metal Gear ZEKE can now be assigned to a field unit.
0x0006a8d5	en	0x20bac6	0x7e1a2d	0x0402	30	30:0x5d6c0c62	Total number of recruits now over $1!
0x0006a8d5	en	0x20bac6	0x7e1a30	0x0402	30	30:0x5d6c0c62	(不要)#【！】$1名ものスタッフが死亡してしまいました。
0x0006a8d5	en	0x20bac6	0x7e1a4b	0x0402	30	30:0x5d6c0c62	*log_type_34
0x0006a8d5	en	0x20bac6	0x7e1a4c	0x0402	30	30:0x5d6c0c62	Amanda joined.
0x0006a8d5	en	0x20bac6	0x7e1a4d	0x0402	30	30:0x5d6c0c62	Chico joined.
0x0006a8d5	en	0x20bac6	0x7e1a4e	0x0402	30	30:0x5d6c0c62	Cecile joined.
0x0006a8d5	en	0x20bac6	0x7e1a4f	0x0402	30	30:0x5d6c0c62	Huey joined.
0x0006a8d5	en	0x20bac6	0x7e1a50	0x0402	30	30:0x5d6c0c62	Paz joined.
0x0006a8d5	en	0x20bac6	0x7e1a68	0x0402	30	30:0x5d6c0c62	Strangelove joined.
0x0006a8d5	en	0x20bac6	0x7e1a6a	0x0402	30	30:0x5d6c0c62	$1% of all weapons developed.
0x0006a8d5	en	0x20bac6	0x7e1a6b	0x0402	30	30:0x5d6c0c62	100% of all weapons developed.
0x0006a8d5	en	0x20bac6	0x7e1a6c	0x0402	30	30:0x5d6c0c62	$1% of all items developed.
0x0006a8d5	en	0x20bac6	0x7e1a6d	0x0402	30	30:0x5d6c0c62	100% of all items developed.
0x0006a8d5	en	0x20bac6	0x7e1a6f	0x0402	30	30:0x5d6c0c62	ZEKE development has progressed.
0x0006a8d5	en	0x20bac6	0x7e1a70	0x0402	30	30:0x5d6c0c62	$1% of all memory boards acquired.
0x0006a8d5	en	0x20bac6	0x7e1a87	0x0402	30	30:0x5d6c0c62	$1 stock reached $2.
0x0006a8d5	en	0x20bac6	0x7e1a88	0x0402	30	30:0x5d6c0c62	(不要)「移動・サルベージ」の機能が追加されました。
0x0006a8d5	en	0x20bac6	0x7e1a89	0x0402	30	30:0x5d6c0c62	#????
0x0006a8d5	en	0x20bac6	0x7e1a8a	0x0402	30	30:0x5d6c0c62	(不要)海域から$1をサルベージしました。\n
0x0006a8d5	en	0x20bac6	0x7e1a8b	0x0402	30	30:0x5d6c0c62	#Sent gift to staff.
0x0006a8d5	en	0x20bac6	0x7e1a8c	0x0402	30	30:0x5d6c0c62	Received gift from $1.
0x0006a8d5	en	0x20bac6	0x7e1a8d	0x0402	30	30:0x5d6c0c62	(不要)マザーベースが目標海域に到着しました。
0x0006a8d5	en	0x20bac6	0x7e1a8e	0x0402	30	30:0x5d6c0c62	Established Mess Hall Team.
0x0006a8d5	en	0x20bac6	0x7e1a90	0x0402	30	30:0x5d6c0c62	Established Sickbay.
0x0006a8d5	en	0x20bac6	0x7e1aa7	0x0402	30	30:0x5d6c0c62	Established Medical Team.
0x0006a8d5	en	0x20bac6	0x86f5ca	0x0402	30	30:0x5d6c0c62	View previous entries in the log (up to 50).  <I=CAN>: BACK
0x0006a8d5	en	0x20bac6	0xc34120	0x0402	30	30:0x5d6c0c62	Established Intel Team.
0x0006a8d5	en	0x20bac6	0xc34121	0x0402	30	30:0x5d6c0c62	Established Trade Waiting Room.
0x0006a8d5	en	0x20bac6	0xc34122	0x0402	30	30:0x5d6c0c62	OUTER OPS now available.
0x0006a8d5	en	0x20bac6	0xc34123	0x0402	30	30:0x5d6c0c62	Mechs can now be deployed in OUTER OPS.
0x0006a8d5	en	0x20bac6	0xc34124	0x0402	30	30:0x5d6c0c62	Mech repair now available.
0x0006a8d5	en	0x20bac6	0xc34125	0x0402	30	30:0x5d6c0c62	Metal Gear development now available.
0x0006a8d5	en	0x20bac6	0xc34126	0x0402	30	30:0x5d6c0c62	DELIVERY function added.
0x0006a8d5	en	0x20bac6	0xc34127	0x0402	30	30:0x5d6c0c62	SUPPORT STRIKE function added.
0x0006a8d5	en	0x20bac6	0xc34128	0x0402	30	30:0x5d6c0c62	SUPPORT SUPPLY function added.
0x0006a8d5	en	0x20bac6	0xc3413f	0x0402	30	30:0x5d6c0c62	TRADE function added.
0x0006a8d5	en	0x20bac6	0xc34140	0x0402	30	30:0x5d6c0c62	RECRUIT function added.
0x0006a8d5	en	0x20bac6	0xc34141	0x0402	30	30:0x5d6c0c62	$1 new member(s) joined unit.
0x0006a8d5	en	0x20bac6	0xc34520	0x0402	30	30:0x5d6c0c62	[!] Large number of staff members are idle.
0x0006a8d5	en	0x20bac6	0xc34521	0x0402	30	30:0x5d6c0c62	[!] R&D halted on one or more projects.
0x0006a8d5	en	0x20bac6	0xc34522	0x0402	30	30:0x5d6c0c62	$1 member(s) thrown in the Brig.
0x0006a8d5	en	0x20bac6	0xc34523	0x0402	30	30:0x5d6c0c62	New weapon available for development.
0x0006a8d5	en	0x20bac6	0xc34524	0x0402	30	30:0x5d6c0c62	New item available for development.
0x0006a8d5	en	0x20bac6	0xc34525	0x0402	30	30:0x5d6c0c62	$1 soldier(s) from the Brig persuaded into recruitment.
0x0006a8d5	en	0x20bac6	0xc34526	0x0402	30	30:0x5d6c0c62	$1 staff member(s) discharged from Sickbay.
0x0006a8d5	en	0x20bac6	0xe46a99	0x0402	30	30:0x5d6c0c62	PERSONNEL
0x0006a8d5	en	0x20bac6	0xe46a9a	0x0402	30	30:0x5d6c0c62	R&D
0x0006a8d5	en	0x20bac6	0xe46a9b	0x0402	30	30:0x5d6c0c62	MEDICAL
0x0006a8d5	en	0x20bac6	0xe46a9c	0x0402	30	30:0x5d6c0c62	INTEL
0x0006a8d5	en	0x20bac6	0xe46a9d	0x0402	30	30:0x5d6c0c62	OTHER
0x0006a8d5	en	0x20bac6	0xe46a9e	0x0402	30	30:0x5d6c0c62	ALL
0x0006a8d5	en	0x20bac6	0xe6c872	0x0402	30	30:0x5d6c0c62	OK: <I=DEC>
0x0006a8d5	fr	0x20bac6	0x0140f7	0x0001	31	31:0x5d6c0c86	NOUVEAU
0x0006a8d5	fr	0x20bac6	0x684e0a	0x0402	31	31:0x5d6c0c86	Nouvelle arme acquise : $1
0x0006a8d5	fr	0x20bac6	0x68aa0a	0x0402	31	31:0x5d6c0c86	Nouvel objet acquis : $1
0x0006a8d5	fr	0x20bac6	0x7e19ec	0x0402	31	31:0x5d6c0c86	[!] $1 membre(s) blessé(s).
0x0006a8d5	fr	0x20bac6	0x7e19ed	0x0402	31	31:0x5d6c0c86	[!] $1 membre(s) malade(s).
0x0006a8d5	fr	0x20bac6	0x7e19ee	0x0402	31	31:0x5d6c0c86	[!] $1 membre(s) souffrant(s) de SSPT.
0x0006a8d5	fr	0x20bac6	0x7e19ef	0x0402	31	31:0x5d6c0c86	[!] $1 membre(s) tué(s).
0x0006a8d5	fr	0x20bac6	0x7e19f0	0x0402	31	31:0x5d6c0c86	$1 membre(s) sorti(s) de l'hôpital.
0x0006a8d5	fr	0x20bac6	0x7e1a07	0x0402	31	31:0x5d6c0c86	[!] $1 membre(s) déserteur(s).
0x0006a8d5	fr	0x20bac6	0x7e1a0a	0x0402	31	31:0x5d6c0c86	Les paramètres de $1 membre(s) ont augmenté.
