entry	off	name	size	data_off	note	magic
1	0x5800	lang_communicationstelop.olang	636	0x30	zlib@4	52425800
1	0x5800	lang_communicationstelop_en.olang	582	0x2e0	zlib@4	52425800
1	0x5800	lang_communicationstelop_fr.olang	588	0x550	zlib@4	52425800
1	0x5800	lang_communicationstelop_ge.olang	594	0x7d0	zlib@4	52425800
1	0x5800	lang_communicationstelop_it.olang	588	0xa50	zlib@4	52425800
1	0x5800	lang_communicationstelop_sp.olang	588	0xcd0	zlib@4	52425800
1	0x5800	lang_demotelop.olang	2880	0xf40	zlib@4	52425800
1	0x5800	lang_demotelop_en.olang	2428	0x1aa0	zlib@4	52425800
1	0x5800	lang_demotelop_fr.olang	2518	0x2440	zlib@4	52425800
1	0x5800	lang_demotelop_ge.olang	2412	0x2e40	zlib@4	52425800
1	0x5800	lang_demotelop_it.olang	2512	0x37d0	zlib@4	52425800
1	0x5800	lang_demotelop_sp.olang	2516	0x41c0	zlib@4	52425800
1	0x5800	lang_http_error.olang	2776	0x4bb0	zlib@4	52425800
1	0x5800	lang_http_error_en.olang	2136	0x56b0	zlib@4	52425800
1	0x5800	lang_http_error_fr.olang	2464	0x5f30	zlib@4	52425800
1	0x5800	lang_http_error_ge.olang	2624	0x68f0	zlib@4	52425800
1	0x5800	lang_http_error_it.olang	2254	0x7350	zlib@4	52425800
1	0x5800	lang_http_error_sp.olang	2266	0x7c40	zlib@4	52425800
1	0x5800	lang_online_error.olang	5336	0x8540	zlib@4	52425800
1	0x5800	lang_online_error_en.olang	4206	0x9a40	zlib@4	52425800
1	0x5800	lang_online_error_fr.olang	4544	0xaad0	zlib@4	52425800
1	0x5800	lang_online_error_ge.olang	4940	0xbcb0	zlib@4	52425800
1	0x5800	lang_online_error_it.olang	4496	0xd020	zlib@4	52425800
1	0x5800	lang_online_error_sp.olang	4648	0xe1d0	zlib@4	52425800
1	0x5800	lang_pw_common.olang	1348	0xf420	zlib@4	52425800
1	0x5800	lang_pw_common_en.olang	1266	0xf990	zlib@4	52425800
1	0x5800	lang_pw_common_fr.olang	1140	0xfea0	zlib@4	52425800
1	0x5800	lang_pw_common_ge.olang	1158	0x10340	zlib@4	52425800
1	0x5800	lang_pw_common_it.olang	1126	0x107f0	zlib@4	52425800
1	0x5800	lang_pw_common_sp.olang	1152	0x10c80	zlib@4	52425800
5	0x2a800	´±q	95	0x10	zlib@4	00000000
6	0x1fc800	µ±q	51	0x10	zlib@4	00000000
7	0x302800	fult_piece_a.mdp	876	0x20	zlib@4	4d445058
7	0x302800	fult_piece_b.mdp	836	0x3b0	zlib@4	4d445058
7	0x302800	ibox_ration_a.mdp	1780	0x710	zlib@4	4d445058
7	0x302800	ibox_shd_a.mdp	400	0xe20	zlib@4	4d445058
7	0x302800	ibox_weapon_a.mdp	1708	0xfd0	zlib@4	4d445058
7	0x302800	lang_briefing.olang	914	0x16a0	zlib@4	52425800
7	0x302800	lang_briefing_en.olang	806	0x1a50	zlib@4	52425800
7	0x302800	lang_briefing_fr.olang	850	0x1da0	zlib@4	52425800
7	0x302800	lang_briefing_ge.olang	824	0x2110	zlib@4	52425800
7	0x302800	lang_briefing_it.olang	830	0x2470	zlib@4	52425800
7	0x302800	lang_briefing_sp.olang	844	0x27d0	zlib@4	52425800
7	0x302800	lang_demotelop.olang	2880	0x2b40	zlib@4	52425800
7	0x302800	lang_demotelop_en.olang	2428	0x36a0	zlib@4	52425800
7	0x302800	lang_demotelop_fr.olang	2518	0x4040	zlib@4	52425800
7	0x302800	lang_demotelop_ge.olang	2412	0x4a40	zlib@4	52425800
7	0x302800	lang_demotelop_it.olang	2512	0x53d0	zlib@4	52425800
7	0x302800	lang_demotelop_sp.olang	2516	0x5dc0	zlib@4	52425800
7	0x302800	pw_briefing.la3	44976	0x67b0	zlib@4	46454c07
7	0x302800	pw_briefing_bg.la3	52744	0x11780	zlib@4	46454c07
7	0x302800	pw_briefing_telop.la3	7644	0x1e5b0	zlib@4	46454c07
7	0x302800	pw_caption.la3	3156	0x203a0	zlib@4	46454c07
7	0x302800	pw_charge.la3	33592	0x21010	zlib@4	46454c07
7	0x302800	pw_charge_pachinko.la3	33740	0x29370	zlib@4	46454c07
7	0x302800	pw_demotelop.la3	5032	0x31760	zlib@4	46454c07
7	0x302800	pw_en_guage.la3	38132	0x32b20	zlib@4	46454c07
7	0x302800	pw_eneterop.la3	668	0x3c030	zlib@4	46454c07
7	0x302800	pw_hanyo_error.la3	48972	0x3c2f0	zlib@4	46454c07
7	0x302800	pw_hanyo_terop.la3	18192	0x48260	zlib@4	46454c07
7	0x302800	pw_keyhelp.la3	43544	0x4c990	zlib@4	46454c07
7	0x302800	pw_pachinko.la3	2940	0x573c0	zlib@4	46454c07
7	0x302800	pw_popup.la3	38108	0x57f50	zlib@4	46454c07
7	0x302800	pw_popup_codec.la3	45112	0x61450	zlib@4	46454c07
7	0x302800	pw_radiocall.la3	10140	0x6c4a0	zlib@4	46454c07
7	0x302800	segrp_726_coming.sep	79872	0x6ec60	zlib@4	5350470d
7	0x302800	segrp_804_v_myouter.sep	14336	0x82480	zlib@4	5350ce0d
7	0x302800	stnc_knf_def.eft	96	0x85ca0	zlib@4	9f6c0b00
7	0x302800	v200_115_rtr_amd_1.la3	188	0x85d20	zlib@4	46454c07
7	0x302800	v200_116_rtr_amd_1.la3	248	0x85e00	zlib@4	46454c07
7	0x302800	v200_117_rtr_amd_1.la3	188	0x85f20	zlib@4	46454c07
7	0x302800	v200_118_rtr_amd_1.la3	188	0x86000	zlib@4	46454c07
7	0x302800	v200_119_rtr_amd_1.la3	188	0x860e0	zlib@4	46454c07
7	0x302800	v200_120_rtr_amd_1.la3	188	0x861c0	zlib@4	46454c07
7	0x302800	v200_121_rtr_amd_1.la3	188	0x862a0	zlib@4	46454c07
7	0x302800	v220_031_rtr_dsl_1.la3	208	0x86380	zlib@4	46454c05
7	0x302800	v220_032_rtr_dsl_1.la3	188	0x86470	zlib@4	46454c07
7	0x302800	v220_033_rtr_dsl_1.la3	188	0x86550	zlib@4	46454c07
7	0x302800	v220_034_rtr_dsl_1.la3	188	0x86630	zlib@4	46454c07
7	0x302800	v220_035_rtr_dsl_1.la3	188	0x86710	zlib@4	46454c07
7	0x302800	v220_036_rtr_dsl_1.la3	188	0x867f0	zlib@4	46454c07
7	0x302800	v240_073_rtr_ccl_1.la3	188	0x868d0	zlib@4	46454c07
7	0x302800	v240_074_rtr_ccl_1.la3	188	0x869b0	zlib@4	46454c07
7	0x302800	v240_075_rtr_ccl_1.la3	260	0x86a90	zlib@4	46454c07
7	0x302800	v240_076_rtr_ccl_1.la3	260	0x86bb0	zlib@4	46454c07
7	0x302800	v240_077_rtr_ccl_1.la3	188	0x86cd0	zlib@4	46454c07
7	0x302800	v240_078_rtr_ccl_1.la3	188	0x86db0	zlib@4	46454c07
7	0x302800	v240_079_rtr_ccl_1.la3	208	0x86e90	zlib@4	46454c07
7	0x302800	v260_151_rtr_chc_1.la3	208	0x86f80	zlib@4	46454c07
7	0x302800	v260_152_rtr_chc_1.la3	188	0x87070	zlib@4	46454c07
7	0x302800	v260_153_rtr_chc_1.la3	188	0x87150	zlib@4	46454c07
7	0x302800	v260_154_rtr_chc_1.la3	208	0x87230	zlib@4	46454c07
7	0x302800	v260_155_rtr_chc_1.la3	188	0x87320	zlib@4	46454c07
7	0x302800	v260_156_rtr_chc_1.la3	260	0x87400	zlib@4	46454c07
7	0x302800	v260_159_rtr_chc_1.la3	188	0x87520	zlib@4	46454c07
7	0x302800	v280_100_rtr_paz_1.la3	188	0x87600	zlib@4	46454c07
7	0x302800	v280_101_rtr_paz_1.la3	188	0x876e0	zlib@4	46454c07
7	0x302800	v280_102_rtr_paz_1.la3	188	0x877c0	zlib@4	46454c07
7	0x302800	v280_103_rtr_paz_1.la3	188	0x878a0	zlib@4	46454c07
7	0x302800	v280_104_rtr_paz_1.la3	188	0x87980	zlib@4	46454c07
7	0x302800	v280_105_rtr_paz_1.la3	208	0x87a60	zlib@4	46454c07
7	0x302800	v300_153_rtr_huy_1.la3	188	0x87b50	zlib@4	46454c07
7	0x302800	v300_154_rtr_huy_1.la3	188	0x87c30	zlib@4	46454c07
7	0x302800	v300_155_rtr_huy_1.la3	260	0x87d10	zlib@4	46454c07
7	0x302800	v300_156_rtr_huy_1.la3	260	0x87e30	zlib@4	46454c07
7	0x302800	v300_157_rtr_huy_1.la3	260	0x87f50	zlib@4	46454c07
7	0x302800	v300_158_rtr_huy_1.la3	260	0x88070	zlib@4	46454c07
7	0x302800	v300_159_rtr_huy_1.la3	188	0x88190	zlib@4	46454c07
7	0x302800	v328_030_rtr_kaz_1.la3	188	0x88270	zlib@4	46454c05
7	0x302800	v328_031_rtr_kaz_1.la3	188	0x88350	zlib@4	46454c05
7	0x302800	v328_032_rtr_kaz_1.la3	188	0x88430	zlib@4	46454c05
7	0x302800	v328_033_rtr_kaz_1.la3	188	0x88510	zlib@4	46454c05
7	0x302800	v328_034_rtr_kaz_1.la3	188	0x885f0	zlib@4	46454c05
7	0x302800	v328_036_rtr_kaz_1.la3	188	0x886d0	zlib@4	46454c07
7	0x302800	v328_037_rtr_kaz_1.la3	188	0x887b0	zlib@4	46454c07
7	0x302800	v328_038_rtr_kaz_1.la3	188	0x88890	zlib@4	46454c07
7	0x302800	v328_039_rtr_kaz_1.la3	188	0x88970	zlib@4	46454c07
7	0x302800	v331_951_rtr_kaz_1.la3	188	0x88a50	zlib@4	46454c07
7	0x302800	v331_951_rtr_kaz_2.la3	188	0x88b30	zlib@4	46454c07
7	0x302800	v331_951_rtr_kaz_3.la3	188	0x88c10	zlib@4	46454c07
7	0x302800	v331_951_rtr_kaz_4.la3	188	0x88cf0	zlib@4	46454c07
7	0x302800	v331_951_rtr_kaz_5.la3	188	0x88dd0	zlib@4	46454c07
7	0x302800	v331_951_rtr_kaz_6.la3	188	0x88eb0	zlib@4	46454c07
