entry	off	size	inflated	note	samples
0	0x5000	55	51	zlib 55->51	scenerio.gcx
1	0x5800	17489	69889	zlib 17489->69889	lang_communicationstelop.olang | lang_communicationstelop_en.olang | $1 has left the mission.
2	0xa000	17003	57215	zlib 17003->57215	pw_sample001 | r_net_coop2_weapon | r_net_prison
3	0xe800	69	87	zlib 69->87	scenerio.gcx
4	0xf000	111395	118816	zlib 111395->118816	tS;qP8+=<;3A@?_110%555#877C221E-,+;655- | ((')-,,/DCBk10/[?>=y1105##" | ;::'IHGQ?>=E
5	0x2a800	1908221	11505696	zlib 1908221->11505696	QjjZZ,kHZUUWVHZHR | MsHZW_~|'ZiR | +sHZUWV\iZ'R_
6	0x1fc800	1072003	5243056	zlib 1072003->5243056	&$$,MaR %R % | DDDDDDDDDDDDDD | DDDDDDDDDDDDDD
7	0x302800	252768	562929	zlib 252768->562929	fult_piece_a.mdp | fult_piece_b.mdp | ibox_ration_a.mdp
8	0x340800	40883	124508	zlib 40883->124508	w00s01apscan | v329_034_rtr_kaz_1 | v329_032_rtr_kaz_2
9	0x34a800	66	67	zlib 66->67	scenerio.gcx | ending_flow.rlc
10	0x34b000	188558	3588176	zlib 188558->3588176	'H3292Mt#8\|\^aHA | ]]qq.<A0}qYyaXA | YqY]Ld"0q}yqaXA
11	0x379800	48642	161229	zlib 48642->161229	lang_communicationstelop.olang | lang_communicationstelop_en.olang | $1 has left the mission.
12	0x385800	39040	118630	zlib 39040->118630	w00s01apscan | v329_034_rtr_kaz_1 | v329_032_rtr_kaz_2
13	0x38f800	62	63	zlib 62->63	scenerio.gcx
14	0x390000	210414	2625760	zlib 210414->2625760	tS;qP8+=<;3A@?_110%555#877C221E-,+;655- | ((')-,,/DCBk10/[?>=y1105##" | ;::'IHGQ?>=E
15	0x3c3800	555667	1119697	zlib 555667->1119697	fult_piece_a.mdp | fult_piece_b.mdp | ibox_ration_a.mdp
16	0x44b800	51090	166785	zlib 51090->166785	w00s01apscan | v329_034_rtr_kaz_1 | v329_032_rtr_kaz_2
17	0x458000	73	109	zlib 73->109	scenerio.gcx
18	0x458800	127726	434228	zlib 127726->434228	tS;qP8+=<;3A@?_110%555#877C221E-,+;655- | ((')-,,/DCBk10/[?>=y1105##" | ;::'IHGQ?>=E
19	0x478000	635586	10895392	zlib 635586->10895392	GddOc1a(EgeEaP | ZZZZeQa CAAC | PZPZfQa cACACya
20	0x513800	73112	2052128	zlib 73112->2052128	extra_cz1.txp
21	0x525800	1969183	25002016	zlib 1969183->25002016	extra_cz2.txp
22	0x706800	470494	1212568	zlib 470494->1212568	DD4333#efffvwwwwwwwfffW | @DD3"Ru'2CDD | DD43rRu'233DD
23	0x779800	2007734	3926021	zlib 2007734->3926021	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
24	0x964000	19600	62673	zlib 19600->62673	sebgm_title_noise_1 | bgm96_additional06 | 9CXaSU2DEFGUf
25	0x969000	64	65	zlib 64->65	scenerio.gcx | flashdemo.rlc
26	0x969800	354031	3498064	zlib 354031->3498064	'H3292Mt#8\|\^aHA | ]]qq.<A0}qYyaXA | YqY]Ld"0q}yqaXA
27	0x9c0000	136649	440297	zlib 136649->440297	lang_communicationstelop.olang | lang_communicationstelop_en.olang | $1 has left the mission.
28	0x9e1800	52642	153419	zlib 52642->153419	w00s01apscan | v329_034_rtr_kaz_1 | v329_032_rtr_kaz_2
29	0x9ee800	59	60	zlib 59->60	scenerio.gcx
30	0x9ef000	490767	1847428	zlib 490767->1847428	E)E)@PPTe)E) | 1E)WW_We)E)UU | ----E)$!.>6/
31	0xa67000	307787	426365	zlib 307787->426365	tEXtSoftware | Adobe ImageReadyq | tEXtSoftware
32	0xab2800	6597	18635	zlib 6597->18635	*** BriefingFile_InitData Start | *** BriefingFile_InitData End
33	0xab4800	160	271	zlib 160->271	.slot weapons 1 720896 | .slot my_outer_r_weapon_slot 1 2371584 | .slot net_sol_mdls 1 139264
34	0xab5000	486335	1233044	zlib 486335->1233044	000000 0##300" | 000000000 330"3 | 00 # #######3
35	0xb2c000	1907145	11431972	zlib 1907145->11431972	QjjZZ,kHZUUWVHZHR | MsHZW_~|'ZiR | +sHZUWV\iZ'R_
36	0xcfe000	1024261	4329508	zlib 1024261->4329508	&$$,MaR %R % | ms_lobby_cz1.txp
37	0xdf8800	2272231	36438052	zlib 2272231->36438052	ms_lobby_cz2.txp
38	0x1023800	58881	94308	zlib 58881->94308	KIG}642}875}-+)} | @wgfffUU53#" | """335Sffw{
