location	bytes	magic	text_runs	samples
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry0@0x2000	14336	53506d03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry1@0x5800	14336	53506e03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry2@0x9000	14336	53506f03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry3@0xc800	18432	53507003	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry4@0x11000	18432	53507103	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry5@0x15800	16384	53507203	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry6@0x19800	12288	53507303	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry7@0x1c800	12288	53507403	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry8@0x1f800	12288	53507503	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry9@0x22800	12288	53507603	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry10@0x25800	10240	53507703	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry11@0x28000	12288	53507803	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry12@0x2b000	14336	53507903	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry13@0x2e800	14336	53507a03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry14@0x32000	16384	53507b03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry15@0x36000	14336	53507c03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry16@0x39800	14336	53507d03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry17@0x3d000	14336	53507e03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry18@0x40800	12288	53507f03	0	
C:\Program Files (x86)\Steam\steamapps\common\MGS_PW\mgspw\MLG\disc0_rel\00b2b475.PDT:entry19@0x43800	14336	53508003	0	
