file	source	entries	refs	chars
olang\olang_01.po	olang	400	1449	20293
olang\olang_02.po	olang	400	436	7921
olang\olang_03.po	olang	400	518	16921
olang\olang_04.po	olang	261	298	17265
codec\codec_01.po	codec	400	422	22504
codec\codec_02.po	codec	400	403	21788
codec\codec_03.po	codec	400	414	21408
codec\codec_04.po	codec	400	405	20915
codec\codec_05.po	codec	400	437	21826
codec\codec_06.po	codec	400	401	20758
codec\codec_07.po	codec	400	405	20648
codec\codec_08.po	codec	400	401	21869
codec\codec_09.po	codec	400	404	20095
codec\codec_10.po	codec	400	402	21232
codec\codec_11.po	codec	400	402	19996
codec\codec_12.po	codec	400	400	22272
codec\codec_13.po	codec	400	400	20728
codec\codec_14.po	codec	400	420	18359
codec\codec_15.po	codec	186	189	9524
slot\slot_01.po	slot	400	458	13431
slot\slot_02.po	slot	400	559	14378
slot\slot_03.po	slot	400	445	18950
slot\slot_04.po	slot	400	466	8182
slot\slot_05.po	slot	400	457	15532
slot\slot_06.po	slot	400	415	17075
slot\slot_07.po	slot	400	428	15498
slot\slot_08.po	slot	400	426	16641
slot\slot_09.po	slot	400	441	13893
slot\slot_10.po	slot	400	472	19842
slot\slot_11.po	slot	400	561	30152
slot\slot_12.po	slot	400	794	32580
slot\slot_13.po	slot	400	1196	39315
slot\slot_14.po	slot	400	717	15198
slot\slot_15.po	slot	400	478	18483
slot\slot_16.po	slot	400	456	16148
slot\slot_17.po	slot	400	817	22484
slot\slot_18.po	slot	400	507	9831
slot\slot_19.po	slot	400	974	6838
slot\slot_20.po	slot	400	544	8662
slot\slot_21.po	slot	400	447	16836
slot\slot_22.po	slot	400	416	9758
slot\slot_23.po	slot	400	444	13136
slot\slot_24.po	slot	366	551	71263
stage\stage_01.po	stage	400	2027	8574
stage\stage_02.po	stage	400	2097	17289
stage\stage_03.po	stage	400	1267	26309
stage\stage_04.po	stage	400	1385	17836
stage\stage_05.po	stage	400	1379	10542
stage\stage_06.po	stage	400	1237	12157
stage\stage_07.po	stage	400	1571	24769
stage\stage_08.po	stage	400	775	10013
stage\stage_09.po	stage	400	732	7528
stage\stage_10.po	stage	400	400	8474
stage\stage_11.po	stage	400	437	28586
stage\stage_12.po	stage	122	237	1614
gtt\gtt_01.po	gtt	400	419	17438
gtt\gtt_02.po	gtt	400	415	16698
gtt\gtt_03.po	gtt	400	502	17778
gtt\gtt_04.po	gtt	400	491	16963
gtt\gtt_05.po	gtt	400	497	17486
gtt\gtt_06.po	gtt	238	241	10464
