count_mid	count_all	term	groups
1016	1823	I	codec,olang,slot
481	499	C	codec,olang,slot
424	444	R	codec,olang,slot
231	231	FF4040	olang,slot
166	342	Snake	codec,olang,slot
141	141	D Team	slot
130	195	Boss	codec,olang,slot
123	126	EXTRA OPS	slot
103	114	Heroism	olang,slot
96	104	Mother Base	codec,olang,slot
88	96	AI	codec,olang,slot
83	253	I'm	codec,slot
80	80	Targets	olang,slot
64	83	Costa Rica	codec,olang,slot
64	69	U	codec,olang,slot
63	68	CO-OPS	codec,olang,slot
61	61	TM	olang,slot
52	52	BL	slot
52	54	Stick	slot
45	77	Peace Walker	codec,olang,slot
44	141	I'll	codec,olang,slot
44	80	Paz	codec,olang,slot
42	43	ATK	olang,slot
40	50	CQC	codec,olang,slot
39	44	D	codec,slot
39	51	MSF	codec,olang,slot
37	37	Fulton	codec,slot
37	67	Kaz	codec,slot
36	38	Memory	slot
35	83	I've	codec,slot
34	34	DEC	olang,slot
31	58	Chico	codec,slot
31	33	Nicaragua	codec,slot
31	68	OK	codec,olang,slot
31	49	The Boss	codec,olang,slot
30	32	Attack Button	olang,slot
30	30	CAN	olang,slot
28	28	Design Specs	olang,slot
27	29	CIA	codec,slot
27	27	MOVE	olang
27	27	SINGLE PLAYER ONLY	slot
26	28	LIFE	slot
25	26	CAMERA	olang
25	27	Japan	codec,slot
25	104	When	slot
24	27	Iraz	codec,slot
23	23	KGB	codec,slot
23	23	Time Penalty	slot
22	23	American	codec,olang,slot
22	27	GMP	codec,slot
22	26	VERSUS OPS	olang,slot
21	30	Big Boss	codec,olang,slot
21	23	HOST	olang,slot
21	45	Soviet	codec,slot
20	20	Entry	olang,slot
20	20	Rank A	slot
20	20	VERSUS OPS Only	slot
19	19	Hand-to-hand Attack Button	olang,slot
19	19	M16	slot
19	23	Mammal Pod	codec,olang,slot
19	19	Rank B	slot
19	19	Rank C	slot
19	51	Right	olang,slot
18	27	ID	codec,olang,slot
17	21	Aim Button	olang,slot
17	20	America	codec,slot
17	19	Cuba	codec,slot
17	17	Icon	codec,olang,slot
17	25	Metal Gear ZEKE	codec,slot
17	18	Tank Battle	olang,slot
16	16	AIM	olang,slot
16	19	C4	codec,olang,slot
16	24	Items Needed	slot
16	30	Zadornov	codec,olang,slot
15	16	Attack Chopper Battle	slot
15	15	C4 Charges	slot
15	24	Dr	codec,slot
15	16	Fulton Recovery System	olang,slot
15	26	Huey	codec,slot
15	35	I'd	codec,slot
15	716	The	olang,slot
14	16	Armored Vehicle Battle	slot
14	16	BRIEFING FILES	slot
14	14	CAPCOM CO	olang,slot
14	14	CPY	olang,slot
14	14	Caribbean	codec,slot
14	15	Isla del Monstruo	codec,olang,slot
14	14	Japanese	codec,slot
14	14	LTD	olang,slot
14	16	Missions	slot
14	27	Shoot	olang,slot
14	15	Special Forces	codec,slot
13	16	AUTO AIM	slot
13	34	Amanda	codec,slot
13	15	Central America	codec,slot
13	15	Channel	olang,slot
13	13	DATA FILES	slot
13	14	Fulton Recovery	slot
13	17	Increases	slot
13	17	May	slot
13	14	Night	olang,slot
13	20	Peace Walker's	codec,slot
13	75	Select	slot
13	14	Sickbay	slot
13	25	ZEKE	codec,slot
12	12	ACT	codec,olang,slot
12	13	Cold War	codec,slot
12	13	Combat Unit	codec,slot
12	12	GL	slot
12	12	Jungle Fatigues in	slot
12	12	MO_MODEL_VIEWER_	olang
12	14	OUTER OPS	olang,slot
12	14	PSYCHE	slot
12	12	Soviet Union	codec,slot
12	12	VS	olang,slot
12	12	Xbox LIVE	olang
11	17	CANCEL	olang,slot
11	20	Coldman	codec,slot
11	12	Medical Team	slot
11	12	Mess Hall Team	codec,slot
11	14	NORAD	codec,olang,slot
11	11	RIGH	slot
11	11	RK	slot
11	11	SGL	slot
11	12	Sandinistas	codec,slot
11	12	Weapons Needed	slot
10	10	Allowing	slot
10	14	French	codec,slot
10	11	Jade	codec,olang,slot
10	16	Left	olang,slot
10	10	Paz's Diary Part	slot
10	10	STANCE	olang
10	11	United States	codec,slot
10	10	WIRELESS	slot
10	10	West German	olang,slot
9	13	Being	slot
9	9	Camera Buttons	slot
9	11	Crouch Button	olang,slot
9	14	France	codec,slot
9	14	G	codec,slot
9	11	Gear REX	codec,slot
9	9	Guardia	codec
9	11	HAL	codec
9	9	HHA	slot
9	9	JSDF	codec,olang,slot
9	9	Latin America	codec,slot
9	11	MSF's	codec,slot
9	9	Region	olang,slot
9	9	Sandinista	codec,slot
9	9	Second World War	slot
9	13	Somoza	codec,slot
9	9	Soviets	codec,slot
9	37	Strangelove	codec,olang,slot
9	10	UMAs	codec,slot
9	9	Vietnam War	codec,slot
8	8	AI Weapon Battle	slot
8	10	CPR	codec,olang,slot
8	14	Cancel	olang,slot
8	8	Cloud Forest of Central Heredia	slot
8	14	Costa Rica's	codec,slot
8	9	Jungle	olang,slot
8	12	Mine Base	slot
8	10	NASA	codec,slot
8	11	Puerto del Alba	olang,slot
8	8	STG	slot
8	12	Strangelove's	codec,slot
8	11	Up	olang,slot
8	8	Use Fulton Recovery	slot
8	11	VOCALOID	slot
8	9	West	codec,slot
7	332	A	slot
7	10	Action Button	olang,slot
7	7	Americans	codec,slot
7	7	Cafetal Aroma Encantado Coffee Plantation	slot
7	11	Chrysalis	codec,slot
7	9	Crater Base	olang,slot
7	7	Frente	codec,slot
7	10	General Sandino	codec
7	8	Hunting Quest	slot
7	9	Jungle Fatigues	olang,slot
7	7	LR	olang,slot
7	20	M16A1	slot
7	7	MORE INFO	olang,slot
7	8	Marines	codec,slot
7	9	Miners' Residence	slot
7	10	Neutralize	slot
7	27	Set	slot
7	8	Snake In	codec,slot
7	7	Thrown	slot
7	7	Time Bonus	slot
7	8	Volc	slot
7	8	Washington	codec,slot
6	8	Aldea Los Despiertos	slot
6	6	Armor Piercing	slot
6	6	Base	olang,slot
6	6	CIA's	codec,slot
6	7	CO-OPS Comm	olang,slot
6	6	Certain	olang,slot
6	17	Che	codec,olang,slot
6	14	Cipher	codec,slot
6	6	Cloud Forest	codec,slot
6	13	Coldman's	codec,slot
6	7	Date	olang,slot
6	10	Down	olang,slot
6	15	El Che	codec,slot
6	6	Eliminate Enemy Soldiers	slot
6	6	European	olang,slot
6	6	Farm	olang,slot
6	6	G3	olang,slot
6	6	Hillside	olang,slot
6	22	Hold	olang,slot
6	6	Langley	codec,slot
6	6	Look Down	olang,slot
6	6	Look Left	olang,slot
6	6	Look Right	olang,slot
6	6	Look Up	olang,slot
6	6	M14	slot
6	7	M1911A1	slot
6	6	MSF SOLDIERS ONLY	slot
6	6	Manhattan Project	codec,slot
6	12	Neutralize the	slot
6	6	PR	slot
6	6	Perfect Stealth	slot
6	7	President	codec,slot
6	10	Pupa	codec,slot
6	13	RK47	slot
6	6	Ready-to-Eat	slot
6	6	Right Stick	olang
6	9	Tigrex	codec,olang,slot
6	6	VOCALOID Edit	slot
5	5	A Space Odyssey	codec,olang,slot
5	7	Amanda's	codec,slot
5	8	Analog	slot
5	12	Bananal Fruta de Oro	slot
5	5	Bolivia	codec
5	6	Brig	slot
5	9	Cocoon	codec,slot
5	5	Colombia	codec,slot
5	6	Cosima Caminades	codec,olang,slot
5	7	Costa Rican	codec,slot
5	5	Despiertos	codec,olang,slot
5	9	El Cadalso	slot
5	5	Equipment	olang,slot
5	6	God	codec,slot
5	6	HQ	slot
5	5	Investigate the Supply Facility	slot
5	7	KPz	slot
5	6	Killing	slot
5	7	L	slot
5	6	Lago Cocibolca	codec
5	12	Los Cantos	slot
5	5	M16 and	slot
5	6	M1911	slot
5	11	M60	slot
5	11	M700	slot
5	5	MG	slot
5	6	MP5A2	olang,slot
5	5	Marksmanship Challenge	slot
5	6	Mi-24A	slot
5	5	Moscow	codec,slot
5	6	No LIFE	slot
5	5	OPS Comms	olang
5	8	Paris	codec,slot
5	5	Prison Facility	slot
5	7	Quetzalcoatl	codec,slot
5	7	Rathalos	codec,olang,slot
5	7	Red	codec,olang,slot
5	5	Restraint	slot
5	11	SVD	slot
5	23	Staff	olang,slot
5	5	TEAM	slot
5	7	TRADE	slot
5	11	The Boss'	codec,slot
